timestamp,date,symbol,isin,exchange,side,quantity,price,trade_value,trade_id,order_id
2026-04-06 09:32:30,2026-04-06,STAR,INE939A01011,NSE,SELL,1,977.75,977.75,601305849,1300000011047507
2026-04-06 09:32:30,2026-04-06,STAR,INE939A01011,NSE,SELL,12,977.75,11733.0,601305847,1300000011047507
2026-04-06 09:32:30,2026-04-06,STAR,INE939A01011,NSE,SELL,12,977.75,11733.0,601305848,1300000011047507
2026-04-06 09:32:30,2026-04-06,STAR,INE939A01011,NSE,SELL,2,977.75,1955.5,601305850,1300000011047507
2026-04-06 09:32:38,2026-04-06,SPAL,INE212I01016,NSE,SELL,10,716.1,7161.0,601312736,1300000011124541
2026-04-06 09:32:38,2026-04-06,SPAL,INE212I01016,NSE,SELL,12,716.35,8596.2,601312735,1300000011124541
2026-04-06 09:32:38,2026-04-06,SPAL,INE212I01016,NSE,SELL,5,716.05,3580.25,601312737,1300000011124541
2026-04-06 09:32:38,2026-04-06,SPAL,INE212I01016,NSE,SELL,7,716.65,5016.55,601312734,1300000011124541
2026-04-06 09:33:03,2026-04-06,FLAIR,INE00Y201027,NSE,SELL,18,291.55,5247.900000000001,201400106,1100000011593567
2026-04-06 09:33:03,2026-04-06,FLAIR,INE00Y201027,NSE,SELL,31,291.6,9039.6,201400105,1100000011593567
2026-04-06 09:33:03,2026-04-06,FLAIR,INE00Y201027,NSE,SELL,37,291.5,10785.5,201400107,1100000011593567
2026-04-06 09:37:50,2026-04-06,BHARATFORG,INE465A01025,NSE,BUY,9,1672.8,15055.199999999999,1151425,1000000010637801
2026-04-06 09:37:50,2026-04-06,BHARATFORG,INE465A01025,NSE,BUY,1,1672.7,1672.7,1151424,1000000010637801
2026-04-06 09:37:58,2026-04-06,GODREJCP,INE102D01028,BSE,BUY,24,998.95,23974.800000000003,3304200,1775446200066883826
2026-04-06 09:38:23,2026-04-06,ICICIAMC,INE346A01027,NSE,BUY,2,2832.8,5665.6,201670060,1100000014175443
2026-04-06 09:39:09,2026-04-06,CRAMC,INE218I01013,NSE,BUY,16,232.37,3717.92,1193163,1000000011088836
2026-04-06 09:39:35,2026-04-06,PREMIERENE,INE0BS701011,BSE,BUY,15,923.8,13857.0,2092400,1775446200067751469
2026-04-06 09:39:35,2026-04-06,PREMIERENE,INE0BS701011,BSE,BUY,10,923.7,9237.0,2091800,1775446200067751469
2026-04-06 09:40:22,2026-04-06,AIIL,INE206F01022,BSE,BUY,5,423.65,2118.25,4163500,1775447734302465346
2026-04-09 10:42:57,2026-04-09,BANSWRAS,INE629D01020,NSE,SELL,20,109.01,2180.2000000000003,2638443,1000000025527767
2026-04-09 10:42:57,2026-04-09,BANSWRAS,INE629D01020,NSE,SELL,6,109.03,654.1800000000001,2638440,1000000025527767
2026-04-09 10:42:57,2026-04-09,BANSWRAS,INE629D01020,NSE,SELL,20,109.01,2180.2000000000003,2638449,1000000025527767
2026-04-09 10:42:57,2026-04-09,BANSWRAS,INE629D01020,NSE,SELL,20,109.01,2180.2000000000003,2638447,1000000025527767
2026-04-09 10:42:57,2026-04-09,BANSWRAS,INE629D01020,NSE,SELL,20,109.01,2180.2000000000003,2638445,1000000025527767
